Filename: C:\Program Files\Exelis\ENVI51\classic\data\can_tmr.img
Dims: Full Scene (256,000 points)

Basic Stats	  Min	  Max	     Mean	    Stdev
           	    9	   3568	  16844	  1.3938	  6.5797
           	   10	   1913	  18757	  0.7473	  7.3270
           	   11	   4499	  23256	  1.7574	  9.0844
           	   12	   2542	  25798	  0.9930	 10.0773
           	   13	   6286	  32084	  2.4555	 12.5328
           	   14	   3744	  35828	  1.4625	 13.9953
           	   15	   8726	  44554	  3.4086	 17.4039
           	   16	   5409	  49963	  2.1129	 19.5168
           	   17	  13344	  63307	  5.2125	 24.7293
           	   18	   7656	  70963	  2.9906	 27.7199
           	   19	  16464	  87427	  6.4312	 34.1512
           	   20	   8303	  95730	  3.2434	 37.3945
           	   21	  16927	 112657	  6.6121	 44.0066
           	   22	   9089	 121746	  3.5504	 47.5570
           	   23	  18457	 140203	  7.2098	 54.7668
           	   24	   9111	 149314	  3.5590	 58.3258
           	   25	  17400	 166714	  6.7969	 65.1227
           	   26	   8075	 174789	  3.1543	 68.2770
           	   27	  15256	 190045	  5.9594	 74.2363
           	   28	   7516	 197561	  2.9359	 77.1723
           	   29	  13434	 210995	  5.2477	 82.4199
           	   30	   5985	 216980	  2.3379	 84.7578
           	   31	   9769	 226749	  3.8160	 88.5738
           	   32	   3724	 230473	  1.4547	 90.0285
           	   33	   6493	 236966	  2.5363	 92.5648
           	   34	   2681	 239647	  1.0473	 93.6121
           	   35	   4402	 244049	  1.7195	 95.3316
